Station,N,E,Z,ID
gcp5,2933168.095,423424.892,127.94,CP
gcp11,2933154.401,423512.53,128.118,CP
1,2933161.058,423429.481,127.734,SL
2,2933153.699,423419.607,127.066,TREE
3,2933140.44,423421.144,127.005,TREE
4,2933151.294,423415.19,127.093,TREE
5,2933149.04,423427.312,127.015,TREE
6,2933135.914,423426.642,127.418,TREE
7,2933144.722,423427.038,126.988,TREE
8,2933148.203,423425.482,127.6,SL
9,2933143.89,423433.704,127.406,BC
10,2933150.254,423440.955,127.954,FH
11,2933160.288,423446.765,127.633,SL
12,2933159.247,423469.049,127.451,SL
13,2933157.415,423514.181,127.439,SL
14,2933158.322,423491.565,127.544,SL
15,2933148.386,423483.992,127.567,FH
16,2933166.135,423577.08,126.951,FH
17,2933169.355,423514.76,127.321,BC
18,2933172.494,423463.598,127.623,T
19,2933172.474,423498.536,127.416,BC
20,2933174.133,423449.877,127.397,FL
21,2933174.207,423444.128,127.495,CB
22,2933180.998,423443.868,127.446,CB
23,2933175.294,423406.301,127.286,FL
24,2933167.479,423413.515,127.572,FL
25,2933167.422,423408.385,127.614,FL
26,2933175.62,423363.475,126.954,FL
27,2933179.622,423362.915,128.306,BC
28,2933155.791,423363.075,127.451,BC
29,2933148.953,423401.097,127.659,BC
30,2933159.903,423396.1,127.663,BC
31,2933157.362,423403.132,127.297,BC
32,2933159.949,423395.802,127.16,BC
33,2933172.736,423389.991,127.395,T
34,2933166.349,423416.258,128.398,MH
35,2933166.099,423411.277,128.372,MH
36,2933166.074,423406.198,128.287,MH
37,2933162.597,423406.917,128.344,MH
38,2933162.668,423412.071,128.373,MH
39,2933151.124,423428.196,128.095,MH
40,2933150.104,423429.629,128.087,MH
41,2933158.342,423491.571,127.426,SL
42,2933157.43,423514.181,127.283,SL
43,2933145.534,423502.325,128.741,BC
44,2933149.156,423487.709,128.192,PV
45,2933150.143,423477.993,128.187,PV
46,2933150.445,423462.374,128.208,PV
47,2933151.321,423443.332,128.206,PV
48,2933159.152,423446.197,128.229,PV
49,2933158.073,423467.836,128.231,PV
50,2933159.022,423424.192,127.936,PV
51,2933157.562,423473.403,128.235,PV
52,2933153.955,423515.987,128.129,RD
53,2933155.423,423480.366,128.117,RD
54,2933166.697,423479.636,127.974,RD
55,2933166.583,423481.698,127.974,RD
56,2933158.923,423432.371,128.133,RD
57,2933153.183,423428.826,128.049,RD
58,2933151.88,423426.457,128.06,RD
59,2933148.425,423424.459,128.073,RD
60,2933151.888,423421.178,128.127,RD
61,2933156.048,423422.333,128.135,RD
62,2933158.182,423425.624,128.137,RD
63,2933164.72,423404.227,128.069,SH
64,2933158.433,423405.772,128.003,SH
65,2933158.577,423414.295,128.003,SH
66,2933165.228,423416.247,128.036,SH
67,2933161.198,423428.914,128.144,SH
68,2933166.162,423434.455,128.128,SH
